genre,game_count
Japanese-Style,43
Role-Playing,121
Tactics,67
Turn-Based,88
Strategy,216
General,444
"Action Adventure",175
Real-Time,91
2D,238
Platformer,361
Action,558
Music,30
Rhythm,29
"Business / Tycoon",22
Management,80
Compilation,104
Miscellaneous,152
Western-Style,10
"Visual Novel",3
Adventure,10
Linear,4
Open-World,41
4X,7
Soccer,57
Team,61
Sports,172
"Massively Multiplayer",7
3D,160
Fighting,63
"Party / Minigame",15
Athletics,23
Individual,49
Matching,23
Puzzle,65
"Action RPG",54
Rail,13
Shooter,142
""Beat-Em-Up""",40
""Shoot-Em-Up""",20
Sci-Fi,67
"Massively Multiplayer Online",3
Combat,5
Flight,7
Simulation,29
Career,10
Virtual,10
Arcade,94
Third-Person,13
Survival,48
Automobile,28
Racing,73
Metroidvania,1
Stacking,3
Sim,53
Football,16
Other,14
Gambling,3
Wrestling,1
MOBA,1
Text,1
Historic,57
Modern,14
Scrolling,34
"Ice Hockey",12
Driving,67
Traditional,98
Kart,17
First-Person,25
"Light Gun",19
"Modern Jet",8
Logic,1
Party,18
Fantasy,46
Futuristic,1
"Olympic Sports",30
"Board Games",5
Tennis,42
"Console-style RPG",33
Edutainment,12
Pinball,5
Parlor,5
Dancing,4
Fishing,11
Nature,7
Horror,11
"Board / Card Game",2
Baseball,8
Alternative,1
Roguelike,2
""Beat-Em-Up"""",15
"Exercise / Fitness",1
Motocross,1
Motorcycle,1
Point-and-Click,1
"Rally / Offroad",9
On-foot,2
Mission-based,2
Mech,6
Vehicle,6
"Car Combat",6
"Virtual Life",1
Artillery,1
Basketball,20
Breeding/Constructing,2
"Card Battle",1
"GT / Street",7
Tycoon,2
Volleyball,1
"Stock Car",1
"Trivia / Game Show",1
