title,fix_date,platform
"Persona 5 Tactica",17-11-2023,PC
"Persona 5 Tactica",17-11-2023,XONE
"Persona 5 Tactica",17-11-2023,PS4
"Persona 5 Tactica",17-11-2023,Switch
"Like a Dragon Gaiden: The Man Who Erased His Name",09-11-2023,PC
"Like a Dragon Gaiden: The Man Who Erased His Name",09-11-2023,PS4
"Like a Dragon Gaiden: The Man Who Erased His Name",09-11-2023,XONE
"Endless Dungeon",17-10-2023,PC
"Endless Dungeon",17-10-2023,XONE
"Endless Dungeon",17-10-2023,PS4
"Sonic Superstars",17-10-2023,PC
"Sonic Superstars",17-10-2023,PS4
"Sonic Superstars",17-10-2023,XONE
"Sonic Superstars",17-10-2023,Switch
"Samba de Amigo: Party Central",29-08-2023,Switch
"Two Point Campus: Medical School",17-08-2023,PC
"Two Point Campus: Medical School",17-08-2023,Switch
"Two Point Campus: Medical School",17-08-2023,PS4
"Two Point Campus: Medical School",17-08-2023,XONE
"Sonic Origins Plus",23-06-2023,PS4
"Sonic Origins Plus",23-06-2023,PC
"Sonic Origins Plus",23-06-2023,Switch
"Sonic Origins Plus",23-06-2023,XONE
"Sonic Origins Plus - Expansion Pack",23-06-2023,PC
"Sonic Origins Plus - Expansion Pack",23-06-2023,PS4
"Sonic Origins Plus - Expansion Pack",23-06-2023,XONE
"Sonic Origins Plus - Expansion Pack",23-06-2023,Switch
"Etrian Odyssey HD",15-06-2023,Switch
"Etrian Odyssey II HD",15-06-2023,Switch
"Etrian Odyssey Origins Collection",01-06-2023,Switch
"Etrian Odyssey III HD",01-06-2023,Switch
"Etrian Odyssey Origins Collection",01-06-2023,PC
"Etrian Odyssey HD",31-05-2023,PC
"Etrian Odyssey II HD",31-05-2023,PC
"Etrian Odyssey III HD",31-05-2023,PC
"Total War: WARHAMMER III - Forge of the Chaos Dwarfs",13-04-2023,PC
"The Murder of Sonic the Hedgehog",31-03-2023,PC
"Bayonetta Origins: Cereza and the Lost Demon",17-03-2023,Switch
"Two Point Campus: School Spirits",15-03-2023,Switch
"Two Point Campus: School Spirits",15-03-2023,PC
"Two Point Campus: School Spirits",15-03-2023,PS4
"Two Point Campus: School Spirits",15-03-2023,XONE
"Company of Heroes 3",23-02-2023,PC
"Like a Dragon: Ishin!",21-02-2023,PS4
"Like a Dragon: Ishin!",21-02-2023,PC
"Like a Dragon: Ishin!",18-02-2023,XONE
"Persona 3 Portable",19-01-2023,PC
"Persona 3 Portable",19-01-2023,XONE
"Persona 4 Golden",19-01-2023,XONE
"Persona 4 Golden",19-01-2023,PS4
"Persona 3 Portable",19-01-2023,PS4
"Persona 3 Portable",19-01-2023,Switch
"Persona 4 Golden",19-01-2023,Switch
"Two Point Campus: Space Academy",12-12-2022,Switch
"Two Point Campus: Space Academy",06-12-2022,PC
"Humankind: Together We Rule",09-11-2022,PC
"Sonic Frontiers",08-11-2022,Switch
"Sonic Frontiers",08-11-2022,XONE
"Sonic Frontiers",08-11-2022,PS4
"Sonic Frontiers",08-11-2022,PC
"Football Manager 2023",08-11-2022,PC
"Football Manager 2023",08-11-2022,iOS
"Football Manager 2023 Touch",08-11-2022,Switch
"Football Manager 2023 Console",08-11-2022,XONE
"Persona 5 Royal",21-10-2022,XONE
"Persona 5 Royal",21-10-2022,PC
"Persona 5 Royal",21-10-2022,Switch
"Lost Judgment",15-09-2022,PC
Judgment,15-09-2022,PC
"Phantasy Star Online 2",31-08-2022,PS4
"Phantasy Star Online 2: New Genesis",31-08-2022,PS4
"Soul Hackers 2",26-08-2022,PC
"Soul Hackers 2",26-08-2022,PS4
"Soul Hackers 2",26-08-2022,XONE
"Total War: WARHAMMER III - Champions of Chaos",22-08-2022,PC
"Two Point Campus",09-08-2022,PC
"Two Point Campus",09-08-2022,Switch
"Two Point Campus",09-08-2022,XONE
"Two Point Campus",09-08-2022,PS4
"Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles - Tengen Uzui Character Pack",13-07-2022,Switch
"Sonic Origins",23-06-2022,Switch
"Sonic Origins",23-06-2022,PS4
"Sonic Origins",23-06-2022,XONE
"Sonic Origins",23-06-2022,PC
"Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles",10-06-2022,Switch
"Virtua Fighter 5 Ultimate Showdown: TEKKEN 7 Collaboration Pack",31-05-2022,PS4
"Hatsune Miku: Project Diva MegaMix+",26-05-2022,PC
"13 Sentinels: Aegis Rim",12-04-2022,Switch
"Sonic Dash+",08-04-2022,iOS
"Lost Judgment: The Kaito Files",28-03-2022,PS4
"Lost Judgment: The Kaito Files",28-03-2022,XONE
"Persona 4 Arena Ultimax",17-03-2022,PC
"Two Point Hospital: Speedy Recovery",15-03-2022,PC
"Total War: WARHAMMER III - Ogre Kingdoms",24-02-2022,PC
"Total War: WARHAMMER III",17-02-2022,PC
"Humankind: Cultures of Africa",20-01-2022,PC
